Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
11/21/2012,88496,9.1612E+13,1035210168,3236931.236,82588106.91,32.87941782,11.7,11.784,11.6435,11.76999,19227.79815,11.71786426
11/22/2012,72157,1.43858E+14,1993680132,3238554.344,107851452.7,23.86825165,11.74978,12.43,11.67,12.42191,58301.30056,12.06804777
11/23/2012,70392,1.1317E+14,1607709794,3231573.14,168110201.5,23.99715144,12.36969,12.40999,12.132,12.34501,18967.90361,12.30346442
11/24/2012,62754,1.15751E+14,1844526268,3237583.58,384583926.6,22.73202401,12.38548,12.4756,12.25,12.41153,19570.38635,12.3686156
11/25/2012,80553,8.15388E+13,1012238152,3255532.76,126097944.9,27.71888794,12.41153,12.6,12.3125,12.4821,24023.68867,12.48723288
11/26/2012,79912,1.12228E+14,1404397344,3259262.722,83618596.93,27.27039836,12.48211,12.6515,11.89,12.24546,35913.82452,12.35605156
11/27/2012,61322,1.42068E+14,2316748199,3248443.246,237458566.2,79.95789105,12.24546,12.339,11.9,12.2,33194.69497,12.10109282
11/28/2012,79805,1.89949E+14,2380158930,3237175.285,1062999696,44.72614721,12.2,12.40712,12.1,12.34769,30688.21406,12.28162004
11/29/2012,83158,1.2027E+14,1446286366,3250936.289,127506007.7,30.9318334,12.34768,12.599,12.15,12.45,26505.34447,12.43344128
11/30/2012,65866,7.87392E+13,1195445122,3252312.728,1556420413,21.88004872,12.539,12.65,12.42423,12.565,24350.31455,12.55887719
12/1/2012,66618,6.25191E+13,938471667.1,3263069,54982379.33,29.99228087,12.565,12.68778,12.4625,12.56201,14696.4195,12.57864034
12/2/2012,44094,9.89505E+13,2244081737,3227157.546,250887157.2,15.02822634,12.57216,12.68,12.434,12.50004,14011.93222,12.56168445
12/3/2012,49219,1.73394E+14,3522899567,3187221.184,137821024,18.85263816,12.50202,12.67901,12.4755,12.67899,26759.60479,12.56725221
12/4/2012,74524,2.48297E+14,3331767747,3159940.274,91897012.04,24.16998401,12.65004,13.5,12.62,13.41,63245.71807,13.02599152
12/5/2012,77500,2.92911E+14,3779491062,3133845.53,114573627.8,26.6733515,13.4,13.42025,13.15,13.38,29794.92671,13.28132375
12/6/2012,80682,3.14386E+14,3896610276,3111661.45,47879352.71,31.05820845,13.30001,13.6888,12.9,13.29899,46562.54106,13.38278736
12/7/2012,68423,2.08121E+14,3041682080,3092789.544,369862081.4,25.9703386,13.29899,13.549,12.975,13.4999,32799.5701,13.34549837
12/8/2012,66082,1.00184E+14,1516062008,3079665.982,61723370.65,25.06019442,13.4998,13.55,13.3545,13.42007,13171.5124,13.46378273
12/9/2012,73010,1.40893E+14,1929771877,3058639.725,295079681.9,24.43926299,13.42007,13.53,13.021,13.388,28166.62014,13.23040904
12/10/2012,76490,1.03945E+14,1358932665,3057831.498,93340578.68,32.60099193,13.388,13.55,13.26911,13.43335,24664.90028,13.42455248
12/11/2012,82527,1.62145E+14,1964750105,3056338.098,162222474.1,30.6428106,13.5,13.67,13.3,13.55703,28045.88348,13.50186334
12/12/2012,77074,3.59007E+14,4657958508,3042767.561,801065589.7,27.61405036,13.67,13.79989,13.3,13.6989,37679.22883,13.59948255
12/13/2012,96268,3.79312E+14,3940169832,3028654.584,244957672.5,42.77546793,13.699,13.8,13.46777,13.7001,24197.68226,13.69886811
12/14/2012,81299,2.95452E+14,3634137035,3014176.898,218609645.5,32.88696018,13.70635,13.90119,13,13.60004,70143.98038,13.55848368
12/15/2012,66815,1.62925E+14,2438443242,2986964.757,188438529.1,26.426188,13.60005,13.64,13.44216,13.49011,15187.65528,13.54201071
12/16/2012,75574,1.79851E+14,2379796624,2965914.837,8980688581,27.40011287,13.49012,13.66548,13.13111,13.30002,42760.55029,13.35099234
12/17/2012,84612,1.77466E+14,2097411963,2969043.866,124854913.3,32.24930878,13.3,13.485,12.74919,13.25005,63631.25288,13.18680034
12/18/2012,105410,2.37449E+14,2252625870,2996926.603,334198714.3,37.08634431,13.25005,13.39807,13.11,13.29899,23220.50794,13.2351474
12/19/2012,87638,1.12349E+14,1281970633,3005168.638,161320749.1,39.25169662,13.29899,13.601,13.2,13.599,38807.09716,13.40381169
12/20/2012,79391,9.38915E+13,1182646784,2986351.417,866228806.1,30.62284069,13.595,13.72,13.32591,13.52463,32980.36149,13.53423649
12/21/2012,90908,1.66052E+14,1826592987,2969869.217,178394138.7,35.57252966,13.57999,13.6,13.41999,13.49998,25330.45404,13.52356143
12/22/2012,99569,1.39875E+14,1404805443,2975477.071,121310466.5,39.98089285,13.5,13.58996,13.3213,13.37136,14783.40058,13.42477301
12/23/2012,79377,8.86553E+13,1116888848,2965355.659,5598156284,32.40114679,13.47221,13.47222,13.01,13.31202,23978.21765,13.21890938
12/24/2012,79927,1.04273E+14,1304600235,2948792.562,124219761.2,30.76535974,13.3718,13.45,13.2105,13.38001,16692.15035,13.37845429
12/25/2012,59976,5.99441E+13,999468443.8,2910457.552,630544841.6,21.56338759,13.4198,13.43,13.14,13.35001,13165.68956,13.31227577
12/26/2012,87084,6.29685E+13,723077561.3,2888657.539,194099781.3,29.20703966,13.35001,13.46997,13.20001,13.46786,15840.13422,13.34263554
12/27/2012,96951,8.51193E+13,877962146.4,2871082.2,99967927.13,35.43010858,13.46332,13.47,13.25,13.42174,19822.05115,13.38467941
12/28/2012,99089,1.04871E+14,1058347320,2879437.717,107929532.8,38.51894572,13.43998,13.6499,13.34201,13.42119,23813.00663,13.4474145
12/29/2012,84180,9.71707E+13,1154320287,2878685.418,74429224.1,30.58246185,13.4999,13.67,13.27,13.4,26149.13543,13.4888699
12/30/2012,85864,7.89456E+13,919426163.4,2863964.794,40577352.12,35.09140165,13.41197,13.59,13.35,13.45001,11764.19999,13.45414048
12/31/2012,65480,1.33897E+14,2044859597,2840807.909,210133671,26.99566664,13.39112,13.561,13.36634,13.51001,15049.78947,13.47519889
1/1/2013,65649,1.49217E+14,2272953448,2803958.188,393464481.8,23.37476946,13.51001,13.56,13.16123,13.30413,28406.211,13.33790531
1/2/2013,81908,1.93761E+14,2365592961,2780941.151,2755041650,29.18198114,13.35574,13.4,13.16382,13.27999,17966.80726,13.31100051
1/3/2013,83150,1.76476E+14,2122380387,2764960.018,991466787,35.68268787,13.28306,13.464,13.24897,13.39786,18032.25143,13.35639412
1/4/2013,101316,2.31611E+14,2286030226,2758840.773,744024736.5,42.89840546,13.4265,13.52,13.27311,13.5,29641.91633,13.4230306
1/5/2013,82159,2.09834E+14,2553993079,2747538.475,15226064394,30.06402764,13.50001,13.548,13.314,13.44,21329.92729,13.4521092
1/6/2013,61304,1.08825E+14,1775169502,2741561.692,392657129.9,37.02643176,13.44884,13.521,13.356,13.45395,12741.13085,13.4601093
1/7/2013,80983,1.48324E+14,1831549287,2717521.11,2198365719,34.80264212,13.51394,13.59,13.404,13.58755,25477.72142,13.50526306
1/8/2013,99169,2.14093E+14,2158865295,2687851.923,131292887.6,29.80098536,13.55376,13.87998,13.5,13.74275,42798.37279,13.72070529
1/9/2013,87613,1.71593E+14,1958531851,2677088.602,42662099.18,33.87855401,13.79904,13.86225,13.62,13.77001,28606.37664,13.74491574
1/10/2013,113108,1.34289E+14,1187260699,2671081.983,1078252527,152.1727259,13.77001,14.32,13.77,14.13999,51811.03424,14.04701696
1/11/2013,107431,1.3262E+14,1234468423,2672861.449,3378375698,44.13601946,14.13,14.34999,13.91001,14.13701,40434.54497,14.11360675
1/12/2013,88693,9.75083E+13,1099391210,2656904.67,149715764.1,38.36175715,14.25664,14.338,13.975,14.23699,26931.8358,14.16713509
1/13/2013,103464,8.94681E+13,864726956.4,2644826.899,88994536.26,35.86482633,14.237,14.3148,13.94896,14.11601,38330.15242,14.10794231
1/14/2013,93836,1.11396E+14,1187137424,2629222.755,8277050463,35.47591933,14.19,14.35,14.11,14.30002,22096.95302,14.25611291
1/15/2013,91244,2.07444E+14,2273513209,2616994.054,7673417933,34.17528217,14.35,14.47899,13.99178,14.25003,51573.22503,14.20171809
1/16/2013,112186,2.26581E+14,2019693755,2605595.759,15232073074,40.03464889,14.3,14.73,14.21001,14.73,45532.48887,14.5155627
1/17/2013,109194,1.80992E+14,1657528800,2621313.675,3413745130,36.8345206,14.73,15.69999,14.63,15.50001,65489.44437,15.16558347
1/18/2013,103135,1.64359E+14,1593630781,2627480.771,60233755620,39.75901296,15.59897,15.985,15.41,15.70499,56097.54673,15.68082814
